Holder,Shares,Date Reported,% Out,Value,comp
Morgan Stanley,47374276,2023-09-29,0.011200000000000002,2122367528,INTC
Northern Trust Corporation,46003776,2023-09-29,0.0109,2060969129,INTC
Norges Bank Investment Management,41352218,2022-12-30,0.0098,1852579334,INTC
Vanguard Group Inc,229286735,2023-09-29,0.09519999999999999,35225322217,JNJ
Blackrock Inc.,184367232,2023-09-29,0.0766,28324338752,JNJ
State Street Corporation,130950138,2023-09-29,0.054400000000000004,20117870340,JNJ
"Geode Capital Management, LLC",47042024,2023-09-29,0.0195,7227066376,JNJ
Morgan Stanley,41245101,2023-09-29,0.0171,6336485068,JNJ
State Farm Mutual Automobile Insurance Co,31675492,2023-09-29,0.0132,4866305990,JNJ
JP Morgan Chase & Company,31408207,2023-09-29,0.013000000000000001,4825242994,JNJ
Northern Trust Corporation,30333109,2023-09-29,0.0126,4660075683,JNJ
Capital International Investors,28986219,2023-09-29,0.012,4453152966,JNJ
Norges Bank Investment Management,26093398,2022-12-30,0.0108,4008728862,JNJ
Vanguard Group Inc,272351064,2023-09-29,0.0942,42285498979,JPM
Blackrock Inc.,189482263,2023-09-29,0.0655,29419205936,JPM
State Street Corporation,121967096,2023-09-29,0.042199999999999994,18936733485,JPM
Morgan Stanley,62941343,2023-09-29,0.0218,9772335955,JPM
"Geode Capital Management, LLC",54326192,2023-09-29,0.018799999999999997,8434738982,JPM
Bank of America Corporation,52975614,2023-09-29,0.0183,8225046889,JPM
"FMR, LLC",49417639,2023-09-29,0.0171,7672632127,JPM
"Wellington Management Group, LLP",42421711,2023-09-29,0.0147,6586437338,JPM
Capital International Investors,39388217,2023-09-29,0.013600000000000001,6115454022,JPM
Capital World Investors,37265753,2023-09-29,0.0129,5785918135,JPM
Vanguard Group Inc,68449565,2023-09-29,0.0944,19094690067,MCD
Blackrock Inc.,50678491,2023-09-29,0.0699,14137271416,MCD
State Street Corporation,33681164,2023-09-29,0.0464,9395697221,MCD
"Geode Capital Management, LLC",14567719,2023-09-29,0.020099999999999996,4063810767,MCD
JP Morgan Chase & Company,14351001,2023-09-29,0.019799999999999998,4003355116,MCD
Morgan Stanley,12710406,2023-09-29,0.0175,3545694749,MCD
Bank of America Corporation,12600013,2023-09-29,0.0174,3514899518,MCD
"Wellington Management Group, LLP",12087607,2023-09-29,0.0167,3371958745,MCD
Northern Trust Corporation,9200473,2023-09-29,0.0127,2566563869,MCD
Norges Bank Investment Management,8884607,2022-12-30,0.012199999999999999,2478449892,MCD
Vanguard Group Inc,243540519,2023-09-29,0.09609999999999999,24676402318,MRK
Blackrock Inc.,202935021,2023-09-29,0.0801,20562107049,MRK
State Street Corporation,115669604,2023-09-29,0.045599999999999995,11720060776,MRK
"Wellington Management Group, LLP",82442666,2023-09-29,0.0325,8353387776,MRK
"Geode Capital Management, LLC",54074120,2023-09-29,0.0213,5478984546,MRK
Morgan Stanley,38594793,2023-09-29,0.0152,3910563397,MRK
"FMR, LLC",38145198,2023-09-29,0.0151,3865008813,MRK
Bank of America Corporation,35750126,2023-09-29,0.0141,3622331494,MRK
"Charles Schwab Investment Management, Inc.",31951714,2023-09-29,0.0126,3237462713,MRK
Northern Trust Corporation,29859623,2023-09-29,0.0118,3025484519,MRK
Vanguard Group Inc,649207002,2023-09-29,0.0873,245088620262,MSFT
Blackrock Inc.,533634606,2023-09-29,0.0718,201457730594,MSFT
State Street Corporation,288457142,2023-09-29,0.0388,108898337078,MSFT
"FMR, LLC",215874152,2023-09-29,0.028999999999999998,81496807491,MSFT
Price (T.Rowe) Associates Inc,151921031,2023-09-29,0.0204,57353225954,MSFT
"Geode Capital Management, LLC",151218886,2023-09-29,0.0203,57088152181,MSFT
Morgan Stanley,123130465,2023-09-29,0.0166,46484211794,MSFT
JP Morgan Chase & Company,116603674,2023-09-29,0.015700000000000002,44020217727,MSFT
Capital World Investors,88620338,2023-09-29,0.011899999999999999,33455949028,MSFT
